week,event_key,model,accuracy,num_matches
3,2025mibkn,log_reg,0.7083333333333334,96
3,2025midtr,log_reg,0.7473684210526316,95
3,2025mimus,log_reg,0.7956989247311828,93
3,2025mitvc,log_reg,0.7010309278350515,97
3,2025mosl,log_reg,0.7444444444444445,90
3,2025mslr,log_reg,0.8181818181818182,77
3,2025mxle,log_reg,0.7922077922077922,77
3,2025ncash,log_reg,0.7457627118644068,59
3,2025ncwak,log_reg,0.6835443037974683,79
3,2025ndgf,log_reg,0.7311827956989247,93
3,2025njrob,log_reg,0.7777777777777778,72
3,2025nyro,log_reg,0.6875,96
3,2025onosh,log_reg,0.7142857142857143,77
3,2025paphi,log_reg,0.8059701492537313,67
3,2025rikin,log_reg,0.6444444444444445,90
3,2025tuak,log_reg,0.7764705882352941,85
3,2025txman,log_reg,0.7076923076923077,65
3,2025txsan,log_reg,0.7070707070707071,99
3,2025txvic,log_reg,0.8307692307692308,65
3,2025utwv,log_reg,0.8068181818181818,88
3,2025wabon,log_reg,0.7469879518072289,83
3,2025wayak,log_reg,0.7228915662650602,83
4,2025azgl,knn,0.6559139784946236,93
4,2025brsp,knn,0.6172839506172839,81
4,2025casd,knn,0.7282608695652174,92
4,2025casf,knn,0.7692307692307693,91
4,2025code,knn,0.7,90
4,2025flor,knn,0.6767676767676768,99
4,2025gasta,knn,0.6617647058823529,68
4,2025hiho,knn,0.654320987654321,81
4,2025ilpe,knn,0.7529411764705882,85
4,2025inlaf,knn,0.6868686868686869,99
4,2025ksla,knn,0.6896551724137931,87
4,2025mawor,knn,0.6813186813186813,91
4,2025mibro,knn,0.7021276595744681,94
4,2025milsu,knn,0.6236559139784946,93
4,2025mimas,knn,0.5729166666666666,96
4,2025misal,knn,0.7692307692307693,91
4,2025mitry,knn,0.6804123711340206,97
4,2025miwmi,knn,0.7684210526315789,95
4,2025mxto,knn,0.5882352941176471,85
4,2025ncgre,knn,0.6986301369863014,73
4,2025ncmec,knn,0.7605633802816901,71
4,2025nhdur,knn,0.6631578947368421,95
4,2025njwas,knn,0.7375,80
4,2025nyli2,knn,0.6145833333333334,96
4,2025oktu,knn,0.7380952380952381,84
4,2025onnob,knn,0.6962025316455697,79
4,2025ontor,knn,0.647887323943662,71
4,2025onwat,knn,0.7066666666666667,75
4,2025orwil,knn,0.6987951807228916,83
4,2025paben,knn,0.7037037037037037,81
4,2025paca,knn,0.6631578947368421,95
4,2025sccha,knn,0.5833333333333334,84
4,2025txfor,knn,0.6705882352941176,85
4,2025txhou,knn,0.6493506493506493,77
4,2025vaale,knn,0.5384615384615384,91
4,2025vabla,knn,0.7012987012987013,77
4,2025waahs,knn,0.8045977011494253,87
4,2025wila,knn,0.6086956521739131,92
4,2025azgl,random_forest,0.7204301075268817,93
4,2025brsp,random_forest,0.7654320987654321,81
4,2025casd,random_forest,0.8369565217391305,92
