base_event_key,phase,years_count,mean_ratio_var,mean_ratio_std,mean_ratio_cv,mean_ratio_autocorr,median_ratio_var,median_ratio_std,median_ratio_cv,median_ratio_autocorr,mode_ratio_var,mode_ratio_std,mode_ratio_cv,mode_ratio_autocorr
nccmp,teleop,8,0.008574649005216182,0.09259940067417381,0.07734246565687403,-0.02972615848288709,0.01520232321887015,0.12329770159605632,0.09994842205541889,-0.09427748807469485,0.08296918169101933,0.28804371489588054,0.20525016462910287,0.196385168937068
ncgre,teleop,4,0.027070782492999886,0.16453201054202155,0.25515940514950824,-0.5547577814887886,0.03245134607090584,0.1801425715118607,0.2696343328576859,-0.5984056332049411,0.17012061309731463,0.41245680149236796,0.9302049682661213,-0.5238020721503558
ncmec,teleop,3,0.009536065647474926,0.09765278105345963,0.12631163582693244,-1.0,0.015214510299741482,0.12334711305799372,0.1493466300111781,-0.9999999999999999,0.030804889619875986,0.17551321779249557,0.16713793747579014,1.0
ncpem,teleop,7,0.0034883336005672775,0.05906211645858348,0.07554303194646554,0.1844081386245326,0.0014725587593702402,0.038373933332019015,0.047164591747339106,0.565178971457371,2.419045053841748,1.5553279570051288,1.2274815519854594,-0.25685072172529283
ncwak,teleop,5,0.02126292792492812,0.14581813304568167,0.21634662435076407,0.11050406072965273,0.0220274148426264,0.1484163563850912,0.21465226559681122,-0.06690031795084637,0.058514717630097565,0.2418981554913091,0.3856054106247384,-0.45949033835239456
ndgf,teleop,7,0.014640128524530869,0.12099639880810861,0.12010406974395614,0.1122922810273988,0.019964700877873217,0.14129649987835233,0.13239536049757195,0.09113077642855479,1.5123449503609498,1.2297743493669682,0.7541823913293801,-0.21020642730910047
necmp,teleop,8,0.07714312674844266,0.27774651527686656,0.17363826862153733,0.48138752822184394,0.1242710703280999,0.35252102111519523,0.2119036595293206,0.5913887224450944,0.16529441793164984,0.40656416213391194,0.22692905985800008,0.006581823396565027
necmp1,teleop,4,0.00932610213968944,0.09657174607352526,0.0619949405231611,-0.5269149627760557,0.02112948869370861,0.1453598592930958,0.08820538151712805,-0.6466959364375604,0.021161518792120998,0.14546999275493555,0.08467174904163793,0.2854825370949407
necmp2,teleop,4,0.006495005980435253,0.08059159993718484,0.05188637831566886,0.23744094985397493,0.012745503532295277,0.11289598545694739,0.06755380518652862,-0.043414055882292114,0.19946750097711113,0.446617846684513,0.2021564595545315,-0.6221038399160143
new,teleop,8,0.08433059324612024,0.29039730240847667,0.18847246209482404,0.26667517548228475,0.1252938922125591,0.3539687729342224,0.21977760233725177,0.29450012099745587,0.28049891760667467,0.5296214852200339,0.2853762872706857,0.4234148376306366
nhdur,teleop,6,0.005235348033262328,0.07235570491165384,0.07229259771382698,0.720015630092031,0.009474589362025379,0.09733750234121162,0.09531261839771987,0.8082841846929766,0.07766175751690889,0.27867859178076254,0.26281636178339657,0.18643241252856402
nhgrs,teleop,7,0.011486969100634268,0.10717727884507176,0.12148203368081642,-0.609789949931185,0.01719674880016773,0.13113637481708776,0.14393201407683207,-0.5496972033523972,5.360802945029092,2.3153407837787277,1.2745878549738556,-0.14866196366167672
njbri,teleop,5,0.02220298108556422,0.14900664778983594,0.16514373845740463,0.8628279693509397,0.018225072086551098,0.13500026698696227,0.1454639027402618,0.7735962431335681,0.1689922625788377,0.41108668499336937,0.4912064248912921,-0.43606767703697297
njfla,teleop,7,0.008691208492101705,0.0932266511899988,0.12186124439034868,-0.04440305022334694,0.007236220939139323,0.08506597991641149,0.10888844780386685,-0.17155287057723959,0.014020703727970332,0.11840905255921243,0.13276143768325277,0.15769095793546656
njski,teleop,8,0.01644357892648979,0.12823251898987945,0.1279549233607503,0.8464759210896314,0.016616788133643784,0.12890612139709962,0.128052366698216,0.6675361477370654,0.028814389413153778,0.1697480174056645,0.17318527909274103,-0.16795035112320691
njtab,teleop,8,0.020549096400650342,0.143349560169016,0.1541595240144752,0.550879835038052,0.020311091688329036,0.14251698736757326,0.14867190725592927,0.5460806400645452,0.12496977782237925,0.35351064739605687,0.3711276213123332,-0.47248854446891503
njwas,teleop,3,0.003099874504081567,0.0556765166302775,0.06564147179542208,1.0,0.00023622091037031655,0.015369479834084059,0.01726660916589981,1.0,0.008767715903223993,0.09363608227186779,0.10364321364450516,-1.0
nvlv,teleop,8,0.004813782657412496,0.06938142876456564,0.06786287946320943,-0.17365464557259086,0.00254049635848294,0.05040333677925441,0.04937235307983899,-0.32967001341559615,0.13184395902354903,0.3631032346641228,0.32299897145373924,-0.4515344753648706
nyli,teleop,6,0.006294459293602652,0.0793376284848662,0.08198376010375445,0.3642380107595547,0.0027093080469503573,0.052051013889744334,0.054371627416269074,-0.010579780611330056,0.05083465505294767,0.22546541875185133,0.25829849170186314,-0.504758587729916
nyli2,teleop,6,0.005075827504423294,0.07124484194959867,0.07294191387458121,0.6674587161181549,0.004567348801966921,0.06758216334186797,0.06566740580885815,-0.895697759676596,0.1075205948331307,0.3279033315371021,0.2833469680147028,-0.6563829499192109
nyny,teleop,8,0.006423661526034663,0.0801477481033289,0.09858499556393405,-0.2901097200378031,0.007649311175689974,0.08746034058754844,0.10837313699795419,-0.3310126868514461,0.10490349326537339,0.32388808756324056,0.6091215061458343,-0.13071653014837872
nyro,teleop,8,0.002717016729391679,0.052125010593684094,0.05223696765514781,-0.3485263332494701,0.0028858047914803032,0.05371968718710398,0.052880498503860805,-0.005054091209348309,0.062457658922755455,0.24991530349851618,0.2124514701073267,-0.384300267550897
nysu,teleop,5,0.016047523271168197,0.12667881934707237,0.15643919315290802,0.6477871978839547,0.018628717559135803,0.13648706004283265,0.16695201745264074,0.6795501924208235,0.03826137828864455,0.19560515915651241,0.25680297117148176,-0.26338268192038805
nytr,teleop,8,0.013949393395018429,0.11810755011860347,0.11831593122559121,0.3435489469030008,0.018360870508716053,0.1355022896807137,0.13295764232417234,0.5405347209327641,0.09959830170611192,0.3155919861246669,0.2848083624511226,0.5268782247124533
ohcl,teleop,8,0.006005235435447605,0.07749345414580257,0.0731120788770717,-0.3611843599832362,0.010206847309144375,0.1010289429279767,0.09280929370565351,-0.07765434940962333,0.14530974573682331,0.38119515439840435,0.32441185488797014,0.3108271374527659
ohmv,teleop,6,0.015105157743930052,0.12290304204506108,0.1170630864431104,-0.4801102852782916,0.021675355184979237,0.14722552490984447,0.13606316527542833,-0.3939126426397724,2.6403606009496547,1.6249186444095147,0.8697402736018877,-0.3066515405487869
okok,teleop,8,0.012881145286774132,0.11349513331757505,0.12097012349241071,0.1527735043097083,0.018134228566454802,0.13466338985208565,0.13821278965286327,0.12176095998033053,0.10954072890898991,0.33096937760008843,0.31073114628778237,-0.3077052507924379
oktu,teleop,4,0.018384381640337618,0.13558901740309803,0.14161121405845697,0.8585120423157387,0.013325602325779944,0.11543657273923175,0.1159305837838214,0.957522376151376,0.09452060275607638,0.3074420315377785,0.3165935642545104,-0.9780034819097616
onbar,teleop,6,0.007642017873962094,0.0874186357361066,0.09283516096217496,-0.2823976959506045,0.004739133669876299,0.06884136597915747,0.07140414473128824,-0.2994611762107865,0.751114065365074,0.866668371042277,0.7180744590013187,0.00024093546045917495
oncmp,teleop,7,0.11494371790320398,0.3390335055760772,0.20725975927528717,-0.5815527131827394,0.14279411687914803,0.3778810882792999,0.22501923104183197,-0.39122365414944005,0.17589525913200119,0.41939868756590215,0.24713867786163984,-0.6534137813872809
oncmp1,teleop,5,0.007252375873405811,0.08516088229583939,0.06597193029006013,-0.8163416379981246,0.013344828315372297,0.11551981784686252,0.08783561627995226,-0.5204980129739385,0.018559382967840973,0.13623282632259,0.10869521040491999,-0.5899944501743094
oncmp2,teleop,5,0.01111487492329052,0.10542710715603706,0.08019790027913187,-0.33713139366990674,0.015066179778469366,0.12274436760385124,0.09077725089208294,0.2487495333779782,0.049286611733633,0.22200588220502854,0.16216758054832614,-0.4190590828389195
onham,teleop,6,0.0023782489960285963,0.04876729432753673,0.044344414077818514,-0.3204284133596465,0.004174103764379654,0.06460730426491772,0.06011541120195235,-0.1186012183137342,0.2014188681489425,0.448797134737893,0.3357998100826182,0.16717816007483163
