week,event_key,model,num_matches,accuracy
3,2025alhu,lightgbm,96,0.75
3,2025alhu,log_reg,96,0.75
3,2025alhu,xgboost,96,0.7604166666666666
3,2025azfg,lightgbm,96,0.8333333333333334
3,2025azfg,log_reg,96,0.8333333333333334
3,2025azfg,xgboost,96,0.8229166666666666
3,2025brba,lightgbm,94,0.7553191489361702
3,2025brba,log_reg,94,0.7446808510638298
3,2025brba,xgboost,94,0.7340425531914894
3,2025cada,lightgbm,83,0.7349397590361446
3,2025cada,log_reg,83,0.7349397590361446
3,2025cada,xgboost,83,0.7349397590361446
3,2025cala,lightgbm,87,0.7586206896551724
3,2025cala,log_reg,87,0.7471264367816092
3,2025cala,xgboost,87,0.7816091954022989
3,2025casj,lightgbm,89,0.8426966292134831
3,2025casj,log_reg,89,0.8314606741573034
3,2025casj,xgboost,89,0.8202247191011236
3,2025cnsh,lightgbm,73,0.7945205479452054
3,2025cnsh,log_reg,73,0.8082191780821918
3,2025cnsh,xgboost,73,0.7808219178082192
3,2025flta,lightgbm,78,0.8333333333333334
3,2025flta,log_reg,78,0.8205128205128205
3,2025flta,xgboost,78,0.8333333333333334
3,2025gagwi,lightgbm,83,0.6987951807228916
3,2025gagwi,log_reg,83,0.6867469879518072
3,2025gagwi,xgboost,83,0.7108433734939759
3,2025inkok,lightgbm,95,0.7473684210526316
3,2025inkok,log_reg,95,0.7157894736842105
3,2025inkok,xgboost,95,0.7263157894736842
3,2025isde4,lightgbm,81,0.691358024691358
3,2025isde4,log_reg,81,0.7037037037037037
3,2025isde4,xgboost,81,0.7283950617283951
3,2025mawne,lightgbm,85,0.7529411764705882
3,2025mawne,log_reg,85,0.7764705882352941
3,2025mawne,xgboost,85,0.7529411764705882
3,2025mdbet,lightgbm,73,0.6438356164383562
3,2025mdbet,log_reg,73,0.6986301369863014
3,2025mdbet,xgboost,73,0.6164383561643836
3,2025mdsev,lightgbm,71,0.7323943661971831
3,2025mdsev,log_reg,71,0.704225352112676
3,2025mdsev,xgboost,71,0.7323943661971831
3,2025melew,lightgbm,76,0.8552631578947368
3,2025melew,log_reg,76,0.8421052631578947
3,2025melew,xgboost,76,0.8421052631578947
3,2025mibel,lightgbm,95,0.7578947368421053
3,2025mibel,log_reg,95,0.7473684210526316
3,2025mibel,xgboost,95,0.7684210526315789
3,2025miber,lightgbm,85,0.7294117647058823
3,2025miber,log_reg,85,0.7176470588235294
3,2025miber,xgboost,85,0.7411764705882353
3,2025mibkn,lightgbm,96,0.7604166666666666
3,2025mibkn,log_reg,96,0.7395833333333334
3,2025mibkn,xgboost,96,0.7708333333333334
3,2025midtr,lightgbm,95,0.7894736842105263
3,2025midtr,log_reg,95,0.7368421052631579
3,2025midtr,xgboost,95,0.7473684210526316
3,2025mimus,lightgbm,93,0.8172043010752689
3,2025mimus,log_reg,93,0.8064516129032258
3,2025mimus,xgboost,93,0.7956989247311828
3,2025mitvc,lightgbm,97,0.7422680412371134
3,2025mitvc,log_reg,97,0.7422680412371134
3,2025mitvc,xgboost,97,0.7422680412371134
3,2025mosl,lightgbm,90,0.7555555555555555
3,2025mosl,log_reg,90,0.7555555555555555
3,2025mosl,xgboost,90,0.7444444444444445
3,2025mslr,lightgbm,77,0.7922077922077922
3,2025mslr,log_reg,77,0.8181818181818182
3,2025mslr,xgboost,77,0.8311688311688312
3,2025mxle,lightgbm,77,0.8181818181818182
3,2025mxle,log_reg,77,0.8181818181818182
3,2025mxle,xgboost,77,0.8051948051948052
3,2025ncash,lightgbm,59,0.7796610169491526
3,2025ncash,log_reg,59,0.7796610169491526
3,2025ncash,xgboost,59,0.7796610169491526
3,2025ncwak,lightgbm,79,0.6962025316455697
3,2025ncwak,log_reg,79,0.6962025316455697
3,2025ncwak,xgboost,79,0.6582278481012658
3,2025ndgf,lightgbm,93,0.6881720430107527
3,2025ndgf,log_reg,93,0.7311827956989247
3,2025ndgf,xgboost,93,0.7096774193548387
3,2025njrob,lightgbm,72,0.7777777777777778
3,2025njrob,log_reg,72,0.7638888888888888
3,2025njrob,xgboost,72,0.7916666666666666
3,2025nyro,lightgbm,96,0.71875
3,2025nyro,log_reg,96,0.71875
3,2025nyro,xgboost,96,0.7083333333333334
3,2025onosh,lightgbm,77,0.6883116883116883
